418945CHUMBO         0000000000000000.00000.0 
418949PRETO AMARELO  0086000000280000.00000.0A
418997CHUMBO MAGENTA 0060000100270000.00000.0 
422602PRETO          0000000000000000.00000.0 
422603PRATA          0006000000020000.00000.0A
422616VERDE          0022000000070000.00000.0 
422618VERMELHO       0044000000030000.00000.0A
422619AZUL           0002000000000000.00000.0 
422621CINZA          0001000000000000.00000.0 
422653VERDE CLARO    0009000000090000.00000.0 
422901BRANCO         0000000000000000.00000.0 
422902PRETO          0102000100170000.00000.0A
422903PRATA          0002000000010000.00000.0A
422916VERDE          0013000000210000.00000.0 
422919AZUL           0022000000040000.00000.0 
422921CINZA          0000000000000000.00000.0 
422922VERDE MUSGO    0098000000150000.00000.0 
424202PRETO          0005000000020000.00000.0A
424205AMARELO        0001000000000000.00000.0 
424218VERMELHO       0008000000040000.00000.0A
424219AZUL           0002000000020000.00000.0C
438002PRETO          0012000000030000.00000.0 
438006CARAMELO       0015000000030000.00000.0 
438022VERDE MUSGO    0014000000070000.00000.0 
438030FERRUGEM       0004000000010000.00000.0 
444902PRETO          0005000000010000.00000.0 
444918VERMELHO       0000000000020000.00000.0 
444922VERDE MUSGO    0006000000000000.00000.0 
445002PRETO          0004000000000000.00000.0 
445018VERMELHO       0002000000000000.00000.0 
445025AZUL MARINHO   0000000000000000.00000.0 
445502PRETO          0000000000000000.00000.0 
445519AZUL           0001000000000000.00000.0 
445521CINZA          0008000000050000.00000.0 
445525AZUL MARINHO   0000000000000000.00000.0 
445902PRETO          0065000000180000.00000.0 
445912ROSA           0005000000010000.00000.0 
445916VERDE          0062000100130000.00000.0 
445919AZUL           0002000000000000.00000.0 
446502PRETO          0055000000110000.00000.0A
446519AZUL           0000000000000000.00000.0 
446529AZUL PETROLEO  0002000000010000.00000.0C
446533VINHO          0031000100010000.00000.0 
446545CHUMBO         0033000000060000.00000.0A
446577GOIABA         0002000000000000.00000.0 
448119AZUL           0000000000000000.00000.0 
448122VERDE MUSGO    0014000000050000.00000.0 
