MA28028ADULTO / CALCA / ALGODAO                             6106CALCA SEAWAY 08 ALGODAO SLIM            000360000.00005000000000000000000000000000000-005  /  /    0000000000001          0 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             6113CALCA SEAWAY 12 ALGODAO SLIM            001000000.00005000000000000001000000000000001-004  /  /    0000000000001          0 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             6136CALCA SEAWAY 16 MOLETON SLIM            000170040.00008000000000000001000000000000001-047  /  /    0000004000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6027CALCA SEAWAY 20 JEANS STRECH            001780060.00008000000000000001000000000000001-067  /  /    0000006000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6028CALCA SEAWAY 21 JEANS STRECH            000150000.000000000000000000760000000000000760076  /  /    0000000000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6034CALCA SEAWAY 22 JEANS STRECH            000640000.00003000000000000001000000000000001-002  /  /    0000000000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6036CALCA SEAWAY 23 JEANS STRECH            002170001.00002000000000000001000000000000001-002  /  /    0000000100001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6061CALCA SEAWAY 24 JEANS STRECH            000330000.00004000000000000001000000000000001-001  /  /    0000000000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6112CALCA SEAWAY 10 JEANS SLIM              000200000.00020000000000000000000000000000000-020  /  /    0000000000001          0 00106ALTO VERAO/25  
MA30030ADULTO / CALCA / JEANS                               6115CALCA SEAWAY 15 JEANS STRECH SLIM       000160000.00001000000000000000000000000000000-001  /  /    0000000000001          0 00106ALTO VERAO/25  
MA47047ADULTO / CAMISA BOTAO / VISCOSE ESTAMP               4608CAMISA SEAWAY 48 VISCOSE REGULAR M/C    000610060.00006000000000000001000000000000001-065  /  /    0000006000001          0 00106ALTO VERAO/25  
MA47047ADULTO / CAMISA BOTAO / VISCOSE ESTAMP               4687CAMISA SEAWAY 53 VISCOSE SLIM M/C       000190060.000000000000000000820000000000000820022  /  /    0000006000001          0 00106ALTO VERAO/25  
MA47047ADULTO / CAMISA BOTAO / VISCOSE ESTAMP               4787CAMISAS SEAWAY 61 VISC SLIM MC          000670060.00028000000000000001000000000000001-087  /  /    0000006000001          0 00106ALTO VERAO/25  
MA47047ADULTO / CAMISA BOTAO / VISCOSE ESTAMP               4882CAMISA SEAWAY 67 SLIM VISCOSE           001160060.00039000050000500005000000000000005-094  /  /    0000006000001         13 00106ALTO VERAO/25  
MA47047ADULTO / CAMISA BOTAO / VISCOSE ESTAMP               4938CAMISA SEAWAY 68 SLIM VISCOSE           000540000.00045000040000400004000000000000004-041  /  /    0000000000001          9 00106ALTO VERAO/25  
MA48048ADULTO / CAMISA BOTAO / VISCOSE LISO                 2193CAMISA SEAWAY 39 VISCOSE SLIM M/C       005610013.00022000130001300013000000000000013-022  /  /    0000001300001         60 00106ALTO VERAO/25  
MA48048ADULTO / CAMISA BOTAO / VISCOSE LISO                 2368CAMISA SEAWAY 40 VISCOSE SLIM M/C       003730016.00007000000000000001000000000000001-022  /  /    0000001600001          0 00106ALTO VERAO/25  
MA48048ADULTO / CAMISA BOTAO / VISCOSE LISO                 4682CAMISA SEAWAY 52 VISCOSE SLIM M/C       000430060.00002000000000000000000000000000000-062  /  /    0000006000001          0 00106ALTO VERAO/25  
MA48048ADULTO / CAMISA BOTAO / VISCOSE LISO                 4688CAMISA SEAWAY 54 VISCOSE SLIM M/C       000660017.00012000000000000000000000000000000-029  /  /    0000001700001          0 00106ALTO VERAO/25  
MA48048ADULTO / CAMISA BOTAO / VISCOSE LISO                 4842CAMISA SEAWAY 63 SLIM VISC+ELAS         001000001.00015000020000200002000000000000002-014  /  /    0000000100001         14 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4089CASACO SEAWAY 15 CAPUZ M/L              000220000.000020000000000000010000000000000010002  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4090CASACO SEAWAY 16 CAPUZ M/L              000000000.000000000000000000550000000000000550064  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4091CASACO SEAWAY 17 CAPUZ M/L              000040000.00001000000000000000000000000000000-001  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4450CASACO SEAWAY 07 CAPUZ ZIPER M/L        000060000.000000000000000000550000000000000550055  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4455CASACO SEAWAY 01 CAPUZ M/L              000090000.00004000000000000000000000000000000-004  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4486CASACO SEAWAY 10 CAPUZ ZIPER M/L        000770000.00003000000000000000000000000000000-003  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4488CASACO SEAWAY 09 CAPUZ M/L              000440000.00013000000000000001000000000000001-012  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4577CASACO SEAWAY 19 CAPUZ ZIPER M/L        001220000.00004000000000000001000000000000001-003  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4578CASACO SEAWAY 20 CAPUZ M/L              000710001.00010000000000000000000000000000000-011  /  /    0000000100001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4641CASACO SEAWAY 21 CAPUZ ZIPER M/L        000430005.00018000010000100001000000000000001-022  /  /    0000000000001          6 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4781CASACO SEAWAY 22 CAPUZ ZIPER            001050000.00012000000000000001000000000000001-011  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4782CASACO SEAWAY 23 CAPUZ                  000870000.00020000020000200002000000000000002-018  /  /    0000000000001         10 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4823CASACO SEAWAY 24 CAPUZ ZIPER            001310001.000030000000000000010000000000000010014  /  /    0000000100001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4921CASACO SEAWAY 25 CAPUZ ZIPER            000290023.00043000000000000001000000000000001-065  /  /    0000000000001          0 00106ALTO VERAO/25  
MA49049ADULTO / MOLETON BLUSAO / COM CAPUZ                  4968CASACO SEAWAY 26 CAPUZ ZIPER            000810000.00015000000000000001000000000000001-013  /  /    0000000000001          0 00106ALTO VERAO/25  
